Title,Artist,Release,Vinyl Condition,Sleeve Condition,Needs Cleaning?,Format,Label,Date Recommended
Shout At The Devil,Motley Crue,1983,VG,VG,X,,,1/8/2025
Diver Down,Van Halen,1982,VG,VG,X,,,1/9/2025
Destroyer - Resurrected,KISS,2019,NM,NM,,Walmart Exclusive Orange,,1/9/2025
Captain Fantastic And The Brown Dirt Cowboy (Posters & Books),Elton John,1975,VG+,VG+,X,,,1/9/2025
Bat Out Of Hell,Meat Loaf,1977,VG+,VG,,,,1/9/2025
"Metal Health (No Sleeve, No Cover)",Quiet Riot,1983,VG,,X,,,1/9/2025
"Another Day, Another Town",Jim & Ingrid Croce,1974,VG,VG,,,,1/9/2025
First Under the Wire,Little River Band,1979,VG+,VG+,,,,1/9/2025
Hold Out,Jackson Browne,1980,VG,VG,X,,,1/9/2025
Sports,Huey Lewis & The News,1983,VG+,VG+,,,,1/9/2025
Tom Jones Sings She's A Lady,Tom Jones,1971,VG+,VG,X,,,2025-03-15
The Human Condition (Insert),Jon Bellion,2016,NM,NM,,,,2025-03-15
Bookends,Simon & Garfunkel,1968,VG+,VG,,,,2025-03-15
Doo-Wops & Hooligans (Orange Vinyl),Bruno Mars,2010,VG+,VG+,,,,2025-03-15
